area,experiment,asymmetry,variant,route,weighting,n,mean,t_lo,t_hi,t_p,boot_lo,boot_hi,eq_mean,eq_lo,eq_hi,eq_p,pw_mean,pw_lo,pw_hi,pw_p,tau,mean_sigma,weight_ratio,obs_agree,ci_methods_disagree,band,reportable
V2,dg-da,polc-polo,roi,roi,equal,7,-0.0135038131434599,-0.0746801657532747,0.0476725394663549,0.608561592683798,-0.0628289654635218,0.0265994160677588,-0.0135038131434599,-0.0746801657532747,0.0476725394663549,0.608561592683798,0.00471043639380526,-0.0487161007689499,0.0581369735565604,0.83634057570758,0.0179339576888594,0.0636701018131721,4.2686311892176,4,0,4-8,1
V2,dg-da,horiz-vert,roi,roi,equal,7,-0.222648692392505,-0.327958721822858,-0.117338662962152,0.00206774393864048,-0.300916404724636,-0.143887475579649,-0.222648692392505,-0.327958721822858,-0.117338662962152,0.00206774393864048,-0.210049552702639,-0.308500543999172,-0.111598561406106,0.00197505591817665,0.0559907926204009,0.0991507799105483,3.08830004912663,7,0,2-10,1
V2,dg-da,card-obl,roi,roi,equal,7,-0.133050249309209,-0.245243912284089,-0.0208565863343302,0.0272708005317793,-0.219861428384708,-0.0533664747908154,-0.133050249309209,-0.245243912284089,-0.0208565863343302,0.0272708005317793,-0.122306369159233,-0.233632374093825,-0.0109803642246421,0.0361364478242516,0.106586897627552,0.0579267932740028,1.4183848747146,6,0,2-10,1
V2,dg-da,rad-tang,roi,roi,equal,7,0.0219603935661775,-0.0611793524735063,0.105100139605861,0.541986853560195,-0.0375573252695014,0.0853318319909565,0.0219603935661775,-0.0611793524735063,0.105100139605861,0.541986853560195,0.0344269014368777,-0.0425325305519506,0.111386333425706,0.315676556689619,0.0491627452338243,0.0752614036253376,3.19002216205079,4,0,2-10,1
V2,dg-da,polc-polo,roi,roi,equal,7,-0.0208786484605302,-0.0794851039841176,0.0377278070630572,0.41687586062452,-0.0675100657062739,0.0206890178854627,-0.0208786484605302,-0.0794851039841176,0.0377278070630572,0.41687586062452,-0.0159921194279951,-0.0732758523315724,0.0412916134755822,0.520026266325853,0.0398809030412822,0.049245616617228,1.94824879970602,3,0,2-10,1
V3,dg-da,horiz-vert,roi,roi,equal,7,-0.0902440002373798,-0.184391985652916,0.00390398517815614,0.0574146862495001,-0.155220318010961,-0.0153223697054693,-0.0902440002373798,-0.184391985652916,0.00390398517815614,0.0574146862495001,-0.0735088805344914,-0.160552239892887,0.013534478823904,0.0843018961071099,0.0525547245936366,0.0871834396374528,3.04764118099094,6,1,4-8,1
V3,dg-da,card-obl,roi,roi,equal,7,-0.0748623762858841,-0.134774812662636,-0.0149499399091318,0.0222966636142972,-0.11931078084486,-0.0292906765295182,-0.0748623762858841,-0.134774812662636,-0.0149499399091318,0.0222966636142972,-0.0436011129806117,-0.0937610019017957,0.00655877594057233,0.0775342668126356,0.0294930353097692,0.0576778933671193,5.3299555252196,6,0,4-8,1
V3,dg-da,rad-tang,roi,roi,equal,7,-0.0679772154918281,-0.11943186766907,-0.0165225633145857,0.0178512090817192,-0.111329587454376,-0.0359864854799029,-0.0679772154918281,-0.11943186766907,-0.0165225633145857,0.0178512090817192,-0.0685057031734279,-0.123973977695497,-0.0130374286513584,0.0233356959290051,0,0.0731810318646111,5.47988111216988,7,0,4-8,1
V3,dg-da,polc-polo,roi,roi,equal,7,0.00583469251714028,-0.0624890998277943,0.0741584848620748,0.841392716064831,-0.0373393792549964,0.062270690554518,0.00583469251714028,-0.0624890998277943,0.0741584848620748,0.841392716064831,0.00697438677789554,-0.0601772422103249,0.074126015766116,0.80787492589163,0.0559038938476775,0.0482949284140196,1.79136453803169,3,0,4-8,1
V3,dg-da,horiz-vert,roi,roi,equal,7,-0.108203631430039,-0.198035300039982,-0.0183719628200962,0.0257014272706088,-0.173291078487181,-0.0388450161226161,-0.108203631430039,-0.198035300039982,-0.0183719628200962,0.0257014272706088,-0.0859335000168703,-0.169094711400243,-0.00277228863349763,0.0447712890935062,0.0530455835287527,0.0813676671690406,3.05451987910884,6,0,2-10,1
