area,experiment,asymmetry,variant,route,weighting,n,mean,t_lo,t_hi,t_p,boot_lo,boot_hi,eq_mean,eq_lo,eq_hi,eq_p,pw_mean,pw_lo,pw_hi,pw_p,tau,mean_sigma,weight_ratio,obs_agree,ci_methods_disagree,band,reportable
V1,dg,rad-tang,spec,harmonic,equal,7,0.0973060153619637,0.0550840719366211,0.139527958787306,0.0013320292222024,0.0676038071671183,0.12887758382665,0.0973060153619637,0.0550840719366211,0.139527958787306,0.0013320292222024,0.105218037888727,0.0680096262475284,0.142426449529926,0.000450920940799139,0.0274907405035305,0.0364479312673961,4.22444120164157,7,0,2-10,1
V1,dg,polc-polo,spec,harmonic,equal,7,0.0606398005346224,0.00556291597110709,0.115716685098138,0.0358584843014132,0.0217305448169805,0.102666736533437,0.0606398005346224,0.00556291597110709,0.115716685098138,0.0358584843014132,0.0601528004672374,0.00569562195926816,0.114609978975207,0.0354422457310072,0.0520536978333593,0.0289294632859094,1.56467396165392,6,0,2-10,1
V1,da,horiz-vert,spec,harmonic,equal,7,-0.19918142780393,-0.351664186990475,-0.0466986686173856,0.0186872910017328,-0.320796548056707,-0.0984795194660715,-0.19918142780393,-0.351664186990475,-0.0466986686173856,0.0186872910017328,-0.201304325045818,-0.353542473957242,-0.0490661761343935,0.0177860417890367,0.159133377301587,0.043126695434219,1.19710235868755,7,0,2-10,1
V1,da,card-obl,spec,harmonic,equal,7,-0.0486314104613578,-0.110436836054414,0.0131740151316982,0.102503639016603,-0.0941951305769918,-0.00431493982694639,-0.0486314104613578,-0.110436836054414,0.0131740151316982,0.102503639016603,-0.0478617652848682,-0.108730449587342,0.0130069190176056,0.102689909337496,0.0603809881905013,0.0286372807441567,1.72445719660099,5,1,2-10,1
V1,da,rad-tang,spec,harmonic,equal,7,0.194157962812298,0.118108341693205,0.270207583931391,0.000779673368723285,0.139632084991319,0.25069875517448,0.194157962812298,0.118108341693205,0.270207583931391,0.000779673368723285,0.204689120747697,0.110333619183849,0.299044622311546,0.0018155574750412,0,0.163413516246864,21.2275380199082,7,0,2-10,1
V1,da,polc-polo,spec,harmonic,equal,7,0.0673765123349412,-0.0065555170059719,0.141308541675854,0.0672709720898165,0.0133240664118028,0.122524370824106,0.0673765123349412,-0.0065555170059719,0.141308541675854,0.0672709720898165,0.0608745917271886,-0.00857841255081035,0.130327596005188,0.0756594568056443,0.0416613013521148,0.0682254747559649,3.55800986520716,5,1,2-10,1
V2,dg,horiz-vert,spec,harmonic,equal,7,-0.330122909442625,-0.428538402506943,-0.231707416378306,0.000176422354828121,-0.409180488026004,-0.265772550342114,-0.330122909442625,-0.428538402506943,-0.231707416378306,0.000176422354828121,-0.313773977828794,-0.396402701860283,-0.231145253797304,8.79065973903187e-05,0.0177469973235195,0.104922560033639,5.6035588387821,7,0,4-8,1
V2,dg,card-obl,spec,harmonic,equal,7,-0.137164977845117,-0.231941178804098,-0.0423887768861366,0.0121997541940015,-0.211401201014282,-0.068855695704183,-0.137164977845117,-0.231941178804098,-0.0423887768861366,0.0121997541940015,-0.124911007244088,-0.217696127484245,-0.0321258870039318,0.016528422060396,0.0827010293303037,0.0605165171120965,1.93421608333429,7,0,4-8,1
V2,dg,rad-tang,spec,harmonic,equal,7,0.184182848782119,0.101462777921012,0.266902919643225,0.0015900039727032,0.127901580457792,0.249173325822252,0.184182848782119,0.101462777921012,0.266902919643225,0.0015900039727032,0.184481463975299,0.102183955695099,0.2667789722555,0.00153607961485418,0.0808996020879392,0.0381461547114939,1.41033357050755,7,0,4-8,1
V2,dg,polc-polo,spec,harmonic,equal,7,0.0546198444576764,0.00866306920216603,0.100576619713187,0.0270449671243148,0.0191932047603643,0.0878438613076987,0.0546198444576764,0.00866306920216603,0.100576619713187,0.0270449671243148,0.0556430110449623,0.0097285355551151,0.101557486534809,0.0251075283673178,0.0433657379940579,0.0242618372048958,1.16181222487495,6,0,4-8,1
V2,da,horiz-vert,spec,harmonic,equal,7,-0.0849632991038452,-0.142826300827848,-0.0271002973798423,0.0114634459120145,-0.127282601696924,-0.0414089521108197,-0.0849632991038452,-0.142826300827848,-0.0271002973798423,0.0114634459120145,-0.0843604862548822,-0.141190191876628,-0.0275307806331366,0.0109350128308418,0.0534202213743907,0.0325678198744272,1.73563712232446,7,0,4-8,1
V2,da,card-obl,spec,harmonic,equal,7,-0.00229602717635294,-0.020264351028727,0.0156722966760211,0.765112755744432,-0.0155455925097629,0.010953538157057,-0.00229602717635294,-0.020264351028727,0.0156722966760211,0.765112755744432,-0.00480447439698722,-0.0282085785117531,0.0185996297177787,0.633347909710485,0,0.0294305290584705,6.19187008093368,4,0,4-8,1
V2,da,rad-tang,spec,harmonic,equal,7,0.145787033133289,0.10356588819786,0.188008178068717,0.000150093809474021,0.112938971984952,0.175025068860446,0.145787033133289,0.10356588819786,0.188008178068717,0.000150093809474021,0.145507732002875,0.0942249847957372,0.196790479210013,0.000442754517547489,0,0.0721927033872339,10.9296875845712,7,0,4-8,1
