asymmetry,mean,bootLo,bootHi,tLo,tHi,t,p,nObsSameSign
horiz-vert,-0.329227013129511,-0.493149457729589,-0.19376038191852,-0.52798041258313,-0.130473613675891,-3.91690497705004,0.0057719535009893,8
card-obl,-0.192514615767455,-0.286216892709864,-0.0980056663617775,-0.314305699279332,-0.0707235322555776,-3.73775087718467,0.00728422854523272,7
rad-tang,-0.0460594145284818,-0.154422368450995,0.112187396043093,-0.224277759541494,0.13215893048453,-0.611122320770408,0.560431583052537,6
polc-polo,-0.000573430318672562,-0.0737499606114544,0.0861037356339058,-0.103132470078618,0.101985609441273,-0.0132211381981102,0.989820288578499,3
