area,experiment,asymmetry,variant,route,weighting,n,mean,t_lo,t_hi,t_p,boot_lo,boot_hi,eq_mean,eq_lo,eq_hi,eq_p,pw_mean,pw_lo,pw_hi,pw_p,tau,mean_sigma,weight_ratio,obs_agree,ci_methods_disagree
V1,dg-da,horiz-vert,roi,roi,equal,7,-0.321007316389737,-0.555708050727077,-0.0863065820523961,0.015482257774791,-0.50390219508483,-0.161567154961357,-0.321007316389737,-0.555708050727077,-0.0863065820523961,0.015482257774791,-0.325677035577947,-0.557135289713707,-0.0942187814421875,0.0137508853861117,0.208839442044925,0.144176083276483,1.61598171633559,7,0
V1,dg-da,card-obl,roi,roi,equal,7,-0.164591528958521,-0.290355201756961,-0.0388278561600822,0.018544697972057,-0.256379399430062,-0.0710624940635055,-0.164591528958521,-0.290355201756961,-0.0388278561600822,0.018544697972057,-0.149662314503184,-0.273791475053097,-0.025533153953271,0.0256050737550236,0.109313528931775,0.0808828689368623,1.54976206158145,6,0
V1,dg-da,rad-tang,roi,roi,equal,7,-0.114458168622213,-0.183711564281612,-0.0452047729628138,0.0067710447893271,-0.163192649199203,-0.0618099317174839,-0.114458168622213,-0.183711564281612,-0.0452047729628138,0.0067710447893271,-0.129230288983021,-0.231624355045167,-0.0268362229208759,0.0214366229161191,0,0.160353403533608,14.9907932732556,6,0
V1,dg-da,polc-polo,roi,roi,equal,7,-0.0347210557332505,-0.105947800894803,0.0365056894283021,0.277973079109436,-0.0890014097954768,0.015105435669274,-0.0347210557332505,-0.105947800894803,0.0365056894283021,0.277973079109436,-0.0235257787321193,-0.0826073485175963,0.0355557910533578,0.367516846818901,0.0227551922015892,0.0735762855279658,8.83153379346638,3,0
