area,experiment,asymmetry,variant,route,weighting,n,mean,t_lo,t_hi,t_p,boot_lo,boot_hi,eq_mean,eq_lo,eq_hi,eq_p,pw_mean,pw_lo,pw_hi,pw_p,tau,mean_sigma,weight_ratio,obs_agree,ci_methods_disagree
V1,dg,horiz-vert,roi,roi,equal,13,-0.465105639830255,-0.598970767407161,-0.331240512253349,6.5874783547553e-06,-0.579591357189672,-0.347120973248668,-0.465105639830255,-0.598970767407161,-0.331240512253349,6.5874783547553e-06,-0.450761223824548,-0.581335590845874,-0.320186856803221,7.02803097550958e-06,0.182049976321551,0.126215420925984,2.06000016857197,13,0
V1,dg,card-obl,roi,roi,equal,13,-0.186329733932566,-0.296186200912384,-0.0764732669527476,0.00306068627526488,-0.281552010841423,-0.0923899643694759,-0.186329733932566,-0.296186200912384,-0.0764732669527476,0.00306068627526488,-0.175528460336055,-0.28456514651244,-0.0664917741596701,0.00432194070953684,0.163500700967636,0.0794748366244766,1.52237307744207,11,0
V1,dg,rad-tang,roi,roi,equal,13,0.0951377546690368,0.0506847141999743,0.139590795138099,0.000547989853363141,0.0585203489902519,0.136177848891387,0.0951377546690368,0.0506847141999743,0.139590795138099,0.000547989853363141,0.101884894350258,0.058324351990795,0.145445436709721,0.000263512271914124,0.0628831796761276,0.0381715332878547,2.15357899782558,12,0
V1,dg,polc-polo,roi,roi,equal,13,0.0347673461147442,0.0116402435085372,0.0578944487209512,0.00663591408443974,0.0172080552895984,0.0572005862760157,0.0347673461147442,0.0116402435085372,0.0578944487209512,0.00663591408443974,0.0347459795975275,0.011918238038525,0.0575737211565301,0.00615151634698253,0.0329933493879004,0.019394063879823,1.5639328268395,11,0
V1,da,horiz-vert,roi,roi,equal,7,-0.199491093570127,-0.368138582003015,-0.0308436051372393,0.0275341216122087,-0.329812032915656,-0.0840492376418928,-0.199491093570127,-0.368138582003015,-0.0308436051372393,0.0275341216122087,-0.194484739494774,-0.362831161192356,-0.0261383177971919,0.030082747098714,0.176044963628415,0.0475439712868325,1.19085202377345,6,0
V1,da,card-obl,roi,roi,equal,7,-0.0280439516864719,-0.0715015945719566,0.0154136911990129,0.165407186002566,-0.0620667116951499,0.00255916712943271,-0.0280439516864719,-0.0715015945719566,0.0154136911990129,0.165407186002566,-0.0312388335774588,-0.0740587920871894,0.0115811249322719,0.124491519316178,0.0419821468725021,0.0211062117245601,1.66774724027974,5,0
V1,da,rad-tang,roi,roi,equal,7,0.194981911121993,0.099474092133221,0.290489730110766,0.00246350532257645,0.123762931755564,0.262344723824044,0.194981911121993,0.099474092133221,0.290489730110766,0.00246350532257645,0.212310159477554,0.11751866946781,0.307101649487299,0.00154270000230384,0,0.15505531296875,17.0100691519156,7,0
V1,da,polc-polo,roi,roi,equal,7,0.0595795272147842,-0.024490101057122,0.14364915548669,0.133594082420963,0.00312350402011906,0.124433696800255,0.0595795272147842,-0.024490101057122,0.14364915548669,0.133594082420963,0.0558423709321235,-0.0214121447835288,0.133096886647776,0.127349939783645,0.0564032781204313,0.0712860872046597,4.09819079035623,4,1
