area,experiment,asymmetry,observer,value,gainScale,nVertex,band
V1,dg,card-obl,sub-0255,-0.0723326689902394,0.875918799464167,3605,2-10
V1,dg,rad-tang,sub-0255,0.145403807076634,0.875918799464167,3605,2-10
V1,dg,polc-polo,sub-0255,0.00901993407951099,0.875918799464167,3605,2-10
V1,dg,horiz-vert,sub-wlsubj123,-0.490987524696558,1.06714140455468,2729,2-10
V1,dg,card-obl,sub-wlsubj123,-0.214634852598039,1.06714140455468,2729,2-10
V1,dg,rad-tang,sub-wlsubj123,0.0957870184370969,1.06714140455468,2729,2-10
V1,dg,polc-polo,sub-wlsubj123,0.0548990885519029,1.06714140455468,2729,2-10
V1,dg,horiz-vert,sub-wlsubj124,-0.618380458128813,0.989910059443242,3267,2-10
V1,dg,card-obl,sub-wlsubj124,-0.430092102883792,0.989910059443242,3267,2-10
V1,dg,rad-tang,sub-wlsubj124,0.0476256471960072,0.989910059443242,3267,2-10
V1,dg,polc-polo,sub-wlsubj124,-0.00397213063249696,0.989910059443242,3267,2-10
V1,dg,horiz-vert,sub-0426,-0.570782742518833,1.2484016834098,2111,2-10
V1,dg,card-obl,sub-0426,0.0225689075245458,1.2484016834098,2111,2-10
V1,dg,rad-tang,sub-0426,0.0790476210671746,1.2484016834098,2111,2-10
V1,dg,polc-polo,sub-0426,0.0299865997227804,1.2484016834098,2111,2-10
V1,dg,horiz-vert,sub-0250,-0.434894515166796,0.754505425825898,2877,2-10
V1,dg,card-obl,sub-0250,-0.341816018831278,0.754505425825898,2877,2-10
V1,dg,rad-tang,sub-0250,0.107853126997872,0.754505425825898,2877,2-10
V1,dg,polc-polo,sub-0250,0.0924813207578923,0.754505425825898,2877,2-10
V1,da,horiz-vert,sub-0037,-0.0173376334766122,1.05569888099295,3482,2-10
V1,da,card-obl,sub-0037,0.0273155772424852,1.05569888099295,3482,2-10
V1,da,rad-tang,sub-0037,0.260556714087979,1.05569888099295,3482,2-10
V1,da,polc-polo,sub-0037,0.150155629063023,1.05569888099295,3482,2-10
V1,da,horiz-vert,sub-0201,-0.171747829424801,1.08683013105706,2459,2-10
V1,da,card-obl,sub-0201,-0.00172093757212741,1.08683013105706,2459,2-10
V1,da,rad-tang,sub-0201,0.145575959371498,1.08683013105706,2459,2-10
V1,da,polc-polo,sub-0201,0.181823647883559,1.08683013105706,2459,2-10
V1,da,horiz-vert,sub-0255,-0.267677289247046,0.875918799464167,3605,2-10
V1,da,card-obl,sub-0255,-5.74197350150501e-05,0.875918799464167,3605,2-10
V1,da,rad-tang,sub-0255,0.201978846119229,0.875918799464167,3605,2-10
V1,da,polc-polo,sub-0255,0.0428139927770745,0.875918799464167,3605,2-10
V1,da,horiz-vert,sub-wlsubj123,-0.12697835865919,1.06714140455468,2729,2-10
V1,da,card-obl,sub-wlsubj123,-0.0547897295702135,1.06714140455468,2729,2-10
V1,da,rad-tang,sub-wlsubj123,0.322232196054534,1.06714140455468,2729,2-10
V1,da,polc-polo,sub-wlsubj123,-0.0341148173042463,1.06714140455468,2729,2-10
V1,da,horiz-vert,sub-wlsubj124,-0.0595036072199405,0.989910059443242,3267,2-10
V1,da,card-obl,sub-wlsubj124,-0.0219485419914806,0.989910059443242,3267,2-10
V1,da,rad-tang,sub-wlsubj124,0.0779231568425452,0.989910059443242,3267,2-10
V1,da,polc-polo,sub-wlsubj124,-0.0274222033184678,0.989910059443242,3267,2-10
V1,da,horiz-vert,sub-0426,-0.485073595634746,1.2484016834098,2111,2-10
V1,da,card-obl,sub-0426,-0.0481414469476856,1.2484016834098,2111,2-10
V1,da,rad-tang,sub-0426,0.0781261046040036,1.2484016834098,2111,2-10
V1,da,polc-polo,sub-0426,0.0507286919635209,1.2484016834098,2111,2-10
V1,da,horiz-vert,sub-0250,-0.15513975519727,0.754505425825898,2877,2-10
V1,da,card-obl,sub-0250,-0.100675239782964,0.754505425825898,2877,2-10
V1,da,rad-tang,sub-0250,0.199563942707093,0.754505425825898,2877,2-10
V1,da,polc-polo,sub-0250,0.121776323991761,0.754505425825898,2877,2-10
V2,dg,horiz-vert,sub-0037,-0.523739279072747,1.030574652928,1185,4-8
V2,dg,card-obl,sub-0037,-0.180033587055447,1.030574652928,1185,4-8
V2,dg,rad-tang,sub-0037,0.262775686874983,1.030574652928,1185,4-8
V2,dg,polc-polo,sub-0037,0.061350831970151,1.030574652928,1185,4-8
V2,dg,horiz-vert,sub-0201,-0.259893652798322,1.25074947328073,1077,4-8
V2,dg,card-obl,sub-0201,-0.0279534114522562,1.25074947328073,1077,4-8
V2,dg,rad-tang,sub-0201,0.107710753477804,1.25074947328073,1077,4-8
V2,dg,polc-polo,sub-0201,-0.00441696411713271,1.25074947328073,1077,4-8
V2,dg,horiz-vert,sub-0255,-0.230668616054807,0.745422626411181,1264,4-8
V2,dg,card-obl,sub-0255,-0.0583917177017709,0.745422626411181,1264,4-8
V2,dg,rad-tang,sub-0255,0.127173120575885,0.745422626411181,1264,4-8
V2,dg,polc-polo,sub-0255,0.0208642143312723,0.745422626411181,1264,4-8
V2,dg,horiz-vert,sub-wlsubj123,-0.295060281510234,1.13958391561156,839,4-8
V2,dg,card-obl,sub-wlsubj123,-0.116648272849123,1.13958391561156,839,4-8
V2,dg,rad-tang,sub-wlsubj123,0.115834214148416,1.13958391561156,839,4-8
V2,dg,polc-polo,sub-wlsubj123,0.0321135703448109,1.13958391561156,839,4-8
V2,dg,horiz-vert,sub-wlsubj124,-0.239455676505697,0.991881716730935,1517,4-8
V2,dg,card-obl,sub-wlsubj124,-0.299803706961555,0.991881716730935,1517,4-8
V2,dg,rad-tang,sub-wlsubj124,0.12154615305206,0.991881716730935,1517,4-8
V2,dg,polc-polo,sub-wlsubj124,0.0231177672755404,0.991881716730935,1517,4-8
V2,dg,horiz-vert,sub-0426,-0.451355267501467,1.268162342514,833,4-8
V2,dg,card-obl,sub-0426,-0.0699768311710722,1.268162342514,833,4-8
V2,dg,rad-tang,sub-0426,0.128782008463085,1.268162342514,833,4-8
V2,dg,polc-polo,sub-0426,0.0443966807178566,1.268162342514,833,4-8
V2,dg,horiz-vert,sub-0250,-0.307334307344489,0.72605010860944,1213,4-8
V2,dg,card-obl,sub-0250,-0.264352151148556,0.72605010860944,1213,4-8
V2,dg,rad-tang,sub-0250,0.255510065554932,0.72605010860944,1213,4-8
V2,dg,polc-polo,sub-0250,0.0420788826766913,0.72605010860944,1213,4-8
V2,da,horiz-vert,sub-0037,-0.0172202120824801,1.030574652928,1185,4-8
V2,da,card-obl,sub-0037,0.0217020877372972,1.030574652928,1185,4-8
V2,da,rad-tang,sub-0037,0.074764406703448,1.030574652928,1185,4-8
V2,da,polc-polo,sub-0037,0.0456030285557029,1.030574652928,1185,4-8
V2,da,horiz-vert,sub-0201,-0.167608388825259,1.25074947328073,1077,4-8
V2,da,card-obl,sub-0201,0.0175991034655902,1.25074947328073,1077,4-8
V2,da,rad-tang,sub-0201,0.178490696028898,1.25074947328073,1077,4-8
V2,da,polc-polo,sub-0201,0.138465436240222,1.25074947328073,1077,4-8
V2,da,horiz-vert,sub-0255,-0.0346055437706394,0.745422626411181,1264,4-8
V2,da,card-obl,sub-0255,-0.0199451761712051,0.745422626411181,1264,4-8
V2,da,rad-tang,sub-0255,0.145489321075422,0.745422626411181,1264,4-8
V2,da,polc-polo,sub-0255,0.0225336394633677,0.745422626411181,1264,4-8
V2,da,horiz-vert,sub-wlsubj123,-0.141740361542944,1.13958391561156,839,4-8
V2,da,card-obl,sub-wlsubj123,0.041801222369863,1.13958391561156,839,4-8
