area,experiment,asymmetry,variant,route,weighting,n,mean,t_lo,t_hi,t_p,boot_lo,boot_hi,eq_mean,eq_lo,eq_hi,eq_p,pw_mean,pw_lo,pw_hi,pw_p,tau,mean_sigma,weight_ratio,obs_agree,ci_methods_disagree
V1,dg-da,horiz-vert,roipw,roi,precision,8,-0.334535137779645,-0.531495135712417,-0.137575139846873,0.00508345868987049,-0.49223915797344,-0.185357262304078,-0.329864869383598,-0.530708459119896,-0.129021279647301,0.00602452889828379,-0.334535137779645,-0.531495135712417,-0.137575139846873,0.00508345868987049,0.19490033407847,0.140456128327898,1.71367234800453,8,0
V1,dg-da,card-obl,roipw,roi,precision,8,-0.182562325152916,-0.302770762131889,-0.0623538881739424,0.0088430908444402,-0.28545861859059,-0.0960005918025135,-0.192087183080625,-0.31354200819188,-0.0706323579693689,0.00726488475552343,-0.182562325152916,-0.302770762131889,-0.0623538881739424,0.0088430908444402,0.120899190884411,0.080553501696875,1.48566716531846,7,0
V1,dg-da,rad-tang,roipw,roi,precision,8,-0.0609051780097546,-0.21709537844984,0.0952850224303308,0.387169816021071,-0.152281561102218,0.10825109983235,-0.0462629198467383,-0.223739940646969,0.131214100953492,0.557144971682045,-0.0609051780097546,-0.21709537844984,0.0952850224303308,0.387169816021071,0.1389544871618,0.160492210574479,5.06804441247754,6,0
V1,dg-da,polc-polo,roipw,roi,precision,8,-0.00148116897976861,-0.101352021174061,0.0983896832145238,0.973003507004806,-0.0747472468239004,0.0831672016829443,-0.000805109518697359,-0.102994087203487,0.101383868166092,0.985656160484069,-0.00148116897976861,-0.101352021174061,0.0983896832145238,0.973003507004806,0.0972885730496519,0.0739981914817742,2.19182122892499,3,0
