subject,area,eccBand,nVertices,meanGain_mov,meanGain_stat,meanGain_avg,medianGain_avg
sub-0255,V2,0-Inf,6954,4.05180962760405,3.65604487372335,3.84884369886654,2.90597782889758
sub-0255,V3,4-8,722,3.81794157811031,3.51014022222134,3.66080732891205,3.24379432269238
sub-0255,V3,2-10,1723,3.49790169623978,3.22138048404598,3.35679493853559,3.0349443882368
sub-0255,V3,1-12,2694,3.35161574086674,3.0475252376574,3.1959558127767,2.87944373086798
sub-0255,V3,0-Inf,4026,3.36327405692833,3.01551486071115,3.18465114248196,2.6500174358199
sub-0255,V3a,4-8,146,1.69084070717197,1.5522675428978,1.62007319277661,1.52329700250516
sub-0255,V3a,2-10,356,1.8643452760266,1.71886951196279,1.79013023401483,1.63630894952075
sub-0255,V3a,1-12,435,1.86087400469158,1.71773610853496,1.78787316980058,1.63270375660091
sub-0255,V3a,0-Inf,454,1.84468735350093,1.7048418814707,1.77338666355302,1.62132716397344
sub-0255,V3b,4-8,218,2.0605024487373,1.75904352305702,1.90381550752547,1.67183357742591
sub-0255,V3b,2-10,355,1.9821420180333,1.81255064553275,1.8954505518013,1.74264102482642
sub-0255,V3b,1-12,420,1.93089464179054,1.79068806232762,1.85947035057478,1.70397558951113
sub-0255,V3b,0-Inf,437,1.91268386350626,1.77948734308696,1.84488393305272,1.69613346256523
sub-0255,hV4,4-8,81,4.7546162073156,4.61103986241584,4.68227774298158,4.46750698554615
sub-0255,hV4,2-10,344,4.53667639477491,4.41962231006088,4.47776687734787,3.95473034453058
sub-0255,hV4,1-12,653,3.75076848930453,3.68342456495961,3.71694401235487,3.11003240198222
sub-0255,hV4,0-Inf,2016,2.72385137204354,2.58339830287365,2.65269542386934,2.03252284885133
sub-0255,MT,4-8,196,2.87839814260608,1.63742791938735,2.17098352868369,1.96934458741911
sub-0255,MT,2-10,328,3.0348839828687,1.79774441185835,2.33579659235145,2.12856500982653
sub-0255,MT,1-12,443,2.86342055853359,1.69752404009217,2.20470524900834,1.99715749658004
sub-0255,MT,0-Inf,713,2.72680751723127,1.72838021099618,2.17093531731789,1.92150086462777
sub-0255,MST,4-8,129,2.456211435883,1.60490054657485,1.98544077623888,1.86795866403197
sub-0255,MST,2-10,450,3.25566420279068,2.1601775827493,2.65194510271759,2.56550425612054
sub-0255,MST,1-12,716,2.96553682350788,2.04062741313919,2.45999100338272,2.25385388866982
sub-0255,MST,0-Inf,916,2.63814294973646,1.82521071957319,2.19434883088934,1.83615384744685
sub-wlsubj123,V1,4-8,1235,3.82804070380304,4.35271546230932,4.08195687897275,3.42899825847807
sub-wlsubj123,V1,2-10,2729,3.55841365817823,4.05497099376612,3.79858712783239,3.28069369215716
sub-wlsubj123,V1,1-12,3919,3.29939034230182,3.79117266344842,3.53674404951509,3.05866241322799
sub-wlsubj123,V1,0-Inf,4892,3.04154617133568,3.46331707215149,3.24558758638923,2.81516725433678
sub-wlsubj123,V2,4-8,839,3.2079644524109,3.45289312082213,3.32817643606398,2.70483458746766
sub-wlsubj123,V2,2-10,2167,2.96832028750916,3.26628635752351,3.11374116776771,2.48663492878033
sub-wlsubj123,V2,1-12,3285,2.69645544616497,3.00150507273623,2.8448944971776,2.29922616478977
sub-wlsubj123,V2,0-Inf,4489,2.57875466375311,2.77881029394359,2.67691426930191,2.16615490066527
sub-wlsubj123,V3,4-8,690,2.19243693135339,2.4419192083946,2.31381802565922,2.09050738802514
sub-wlsubj123,V3,2-10,1668,2.4452962695613,2.66476499115293,2.55267308759344,2.15441549154107
sub-wlsubj123,V3,1-12,2408,2.24381027810933,2.45833310619888,2.34862365880647,1.96837888797888
sub-wlsubj123,V3,0-Inf,3694,2.09050284640627,2.22860881247466,2.15845154358498,1.80134600908412
sub-wlsubj123,V3a,4-8,178,2.09040282271116,1.77803238107034,1.92790142597107,1.90140957242251
