subject,nRun_dg,nRun_da,nVert_dg,rawHalf_vertexFull_dg,rawHalf_vertexFull_da,rawHalf_vertexDiff_dg,rawHalf_vertexDiff_da,rawHalf_roiFull_dg,rawHalf_roiFull_da,rawHalf_roiDiff_dg,rawHalf_roiDiff_da,sbCorr_vertexFull_dg,sbCorr_vertexFull_da,sbCorr_vertexDiff_dg,sbCorr_vertexDiff_da,sbCorr_roiFull_dg,sbCorr_roiFull_da,sbCorr_roiDiff_dg,sbCorr_roiDiff_da
sub-0037,8,8,1232,0.580376213949947,0.0646284797972735,0.663026493758836,0.177063836743294,0.816381456580606,0.196268449418926,0.845484069682734,0.333216492406716,0.734478548622763,0.121410390617354,0.797373338605374,0.300856812036966,0.89890970161903,0.328134457636597,0.916273495471663,0.499868542437838
sub-0201,8,8,1126,0.320301543741658,0.530491784464547,0.253161475586606,0.112066499249696,0.509279738152419,0.406960711652461,0.554092013786317,0.375773651056775,0.485194530385751,0.693230489505885,0.404036479765069,0.201546399114273,0.674864606313277,0.578496198624466,0.713074913030861,0.546272492961515
sub-0255,9,8,1606,0.460937912758384,0.555754482816995,0.597748099597629,0.546303813305893,0.699416627079184,0.808328378337238,0.745403544746377,0.780968972186721,0.631016429559407,0.714450112733333,0.748238223219497,0.706593113985708,0.823125554892661,0.894006186067265,0.854133185405775,0.877015809239873
sub-wlsubj123,8,8,1235,0.759754953761477,0.604003610651401,0.682467622002061,0.245742641462843,0.844255004322553,0.714498644119805,0.894305137552326,0.527327282540561,0.863478124766747,0.75312001374624,0.811269843267421,0.394531957538636,0.915551268500065,0.833478225917894,0.944203887561513,0.690522965926993
sub-wlsubj124,8,8,1564,0.859571225425308,0.430361153217328,0.550095709548259,0.0775326205534253,0.871199915300118,0.480414791391215,0.786508650121756,0.384999156666268,0.92448325041028,0.601751735565961,0.709757089397495,0.143907700007456,0.931167117074595,0.649027278280227,0.880498003822319,0.555955799414307
sub-0395,8,6,1786,0.894389323535328,0.822938316351917,0.807932520229645,0.501956200376973,0.953083723292927,0.806321704043072,0.952345541224833,0.666596087051571,0.944250806762582,0.902870172808469,0.89376402181982,0.668403246713836,0.975978358660441,0.892777518244164,0.975591175963006,0.79994918052504
sub-0426,8,8,1135,0.546852493466975,0.580149031380468,0.554163133244853,0.317277576359707,0.603143785954761,0.60800741491144,0.731562509986888,0.339302143708458,0.707051895092219,0.734296600965077,0.713133803512435,0.481717114226604,0.752451266366672,0.756224640848346,0.84497383810005,0.5066849856134
sub-0250,8,8,1391,0.443804274525003,0.560391081455711,0.526455261712891,0.482567986392389,0.495550471881575,0.632609148721819,0.663194600116401,0.698551147707728,0.614770689290292,0.718270038986527,0.689774898639527,0.650989352018382,0.662699763329438,0.77496705101413,0.797494893345597,0.822525890551432
